cartodb_id,the_geom,store_name,longitude,latitude,address,address_line__2,city,state,zip5,zip4,county,count_vals,count_vals_density
8099,0101000020E61000006D1B4641F07552C0A2444B1E4F6F4440,AAA Gourmet Deli Inc,-73.842789,40.869602,3001 Eastchester Rd,,Bronx,NY,10469,3201,BRONX ,1,384615.384615385
8100,0101000020E6100000D921FE614B7C52C08E93C2BCC7654440,Milenio Bakery Inc.,-73.942101,40.795158,2030 3rd Ave,,New York,NY,10029,2802,NEW YORK ,1,384615.384615385
8102,0101000020E61000001FF64201DB8452C07CBABA63B1514440,155 Meat Corp/Key Food,-74.075867,40.638226,155 Bay St,,Staten Island,NY,10301,,RICHMOND ,1,384615.384615385
8103,0101000020E610000093020B60CA7752C03198BF42E6604440,Discount Deli & Grocery,-73.871727,40.757027,9611 Northern Blvd,,Corona,NY,11368,1045,QUEENS ,1,384615.384615385
8107,0101000020E6100000F59CF4BEF17A52C0766C04E275674440,M & M Sobro Deli Grocery Corporation,-73.921005,40.808285,460 E. 138th Street,,Bronx,NY,10454,3001,BRONX ,1,384615.384615385
8108,0101000020E61000008690F3FE3F7152C07EC68503215B4440,La Villa Deli,-73.769531,40.711945,18919 Jamaica Ave,,Hollis,NY,11423,2513,QUEENS ,1,384615.384615385
8113,0101000020E6100000C158DFC0E48052C0B9AAECBB22524440,Murad Food Corp/Pioneer,-74.013962,40.641685,5612 5th Ave,,Brooklyn,NY,11220,3415,KINGS ,1,384615.384615385
8114,0101000020E6100000FAF02C41467D52C07784D382175B4440,Around The Clock At Havemeyer Corp,-73.957413,40.711655,149 Havemeyer St,,Brooklyn,NY,11211,4524,KINGS ,1,384615.384615385
8115,0101000020E61000004510E7E1047C52C04ED1915CFE6B4440,Discount Moon Inc,-73.937798,40.8437,1238 Saint Nicholas Ave,,New York,NY,10032,1904,NEW YORK ,1,384615.384615385
8117,0101000020E61000007521567F848152C08F1D54E23A504440,Bay Root Meats Inc,-74.023712,40.626797,7813 5th Ave,,Brooklyn,NY,11209,3703,KINGS ,1,384615.384615385
8119,0101000020E61000004DF8A57EDE7A52C08F386403E96A4440,Reem Del & Grocery 2,-73.91983,40.835236,98 E 167th St,,Bronx,NY,10452,8203,BRONX ,1,384615.384615385
8120,0101000020E6100000C77F8120407B52C029594E42E9674440,Nia Gourmet Deli Corp,-73.925789,40.811806,2592 3rd Ave,,Bronx,NY,10454,1118,BRONX ,1,384615.384615385
8121,0101000020E6100000E61E12BEF77C52C090A2CEDC434C4440,Homecrest V&i Pharmacy Inc.,-73.952621,40.595821,1826 Gravesend Neck Rd,,Brooklyn,NY,11229,4511,KINGS ,1,384615.384615385
8123,0101000020E6100000EFA83121E67F52C06FD921FE61614440,Jun 0709 Inc,-73.998421,40.760803,600 W 42nd St,,New York,NY,10036,2007,NEW YORK ,1,384615.384615385
8124,0101000020E6100000FBC9181F667B52C0535E2BA1BB504440,Dollar Tree 5099,-73.928108,40.630726,1701 Utica Ave,,Brooklyn,NY,11234,1524,KINGS ,1,384615.384615385
8125,0101000020E6100000F9D85DA0A47C52C0658BA4DDE8574440,Marcy Supermarket And Deli Corp,-73.947548,40.686794,784 Marcy Ave,,Brooklyn,NY,11216,1527,KINGS ,1,384615.384615385
8126,0101000020E61000005B94D920937452C0A647533D99554440,Farm Fresh Market Inc.,-73.82148,40.668739,13506 Lefferts Blvd,,South Ozone Park,NY,11420,3602,QUEENS ,1,384615.384615385
8129,0101000020E610000001DF6DDE387A52C04225AE635C574440,Preferred Pharmacy,-73.909721,40.682507,1771 Broadway,,Brooklyn,NY,11207,1611,KINGS ,1,384615.384615385
8132,0101000020E61000001FBDE13E727452C0AA0A0DC4B24D4440,Hamberrys Deli,-73.819473,40.607018,801 Cross Bay Blvd,,Broad Channel,NY,11693,1196,QUEENS ,1,384615.384615385
8133,0101000020E6100000878A71FE267552C004E8F7FD9B594440,Nomi Deli & Grocery Inc,-73.830505,40.700073,11914 Jamaica Ave,,Richmond Hill,NY,11418,2525,QUEENS ,1,384615.384615385
8134,0101000020E61000009544F641967B52C01A6F2BBD36534440,"Caribbean and Tropical Fish Market, Inc",-73.931046,40.650108,4915 Snyder Ave,,Brooklyn,NY,11203,4311,KINGS ,1,384615.384615385
8135,0101000020E6100000F5D555815A8052C04419AA622A534440,Chen Sunrise Mini Market Inc,-74.005524,40.649731,4116 5th Ave,,Brooklyn,NY,11232,3546,KINGS ,1,384615.384615385
8136,0101000020E6100000D712F241CF7452C05F7CD11E2F6A4440,Green Apple Deli and Grocery Store Inc,-73.82515,40.829563,3571 E Tremont Ave,,Bronx,NY,10465,2055,BRONX ,1,384615.384615385
8137,0101000020E61000007B4B395FEC7852C0704221020E6B4440,Boston Gourmet and Deli Corp,-73.889427,40.836365,1662 Boston Rd,,Bronx,NY,10460,4916,BRONX ,1,384615.384615385
8138,0101000020E6100000B5C2F4BD867A52C0C85EEFFE78594440,Morelos Inc,-73.914474,40.699005,298 Irving ave,,Brooklyn,NY,11237,,KINGS ,1,384615.384615385
8139,0101000020E6100000E23FDD40817752C0A1B94E232D6B4440,A S K Deli Grocery Incorporated,-73.867264,40.837315,1479 Beach Ave,,Bronx,NY,10460,3630,BRONX ,1,384615.384615385
8140,0101000020E61000001399B9C0E57452C093C6681D55614440,Bountiful Market Inc,-73.826523,40.76041,14242 Roosevelt Ave,,Flushing,NY,11354,6042,QUEENS ,1,384615.384615385
8142,0101000020E61000003F8C101E6D7852C0C26A2C616D6A4440,Bronx River Live Poultry Inc,-73.88166,40.831463,1307 Bronx River Ave,,Bronx,NY,10472,1101,BRONX ,1,384615.384615385
8143,0101000020E6100000535E2BA1BB6D52C0E57B4622345E4440,Discount Valley Inc.,-73.714577,40.735966,25306A Hillside Ave,,Bellerose,NY,11426,2152,QUEENS ,1,384615.384615385
8144,0101000020E610000011548D5E0D7552C0C93A1C5DA55F4440,NY 588 Corp,-73.828941,40.747234,136-06 Booth Memorial Ave,,Flushing,NY,11355,,QUEENS ,1,384615.384615385
